Modo+Tempo	Occorrenze	Occorrenze
Person=3|Number=Sing	5546	50.727
Person=1|Number=Sing	816	7.464
Person=1|Number=Plur	194	1.774
Person=3|Number=Plur	1322	12.092
Number=Sing|Gender=Fem	390	3.567
Number=Sing|Gender=Masc	1064	9.732
Person=3|Number=Sing|Gender=Fem	53	0.485
Number=Plur|Gender=Masc	283	2.588
Person	407	3.723
Person=3|Number=Sing|Gender=Masc	221	2.021
Person=1|Number=Plur|Gender=Masc	12	0.110
Person=3|Number=Plur|Gender=Masc	50	0.457
Number=Plur|Gender=Fem	68	0.622
Person=2|Number=Plur	169	1.546
Person=2|Number=Sing	241	2.204
Person=3|Number=Plur|Gender=Fem	33	0.302
Number=Plur	9	0.082
Person=3	12	0.110
Person=2|Number=Plur|Gender=Fem	5	0.046
Person=1|Number=Sing|Gender=Fem	9	0.082
Person|Number=Plur	2	0.018
Number=Sing	16	0.146
Person=2|Number=Sing|Gender=Fem	2	0.018
Person|Number=Sing|Gender=Masc	3	0.027
Person=1	2	0.018
Gender=Masc	2	0.018
Person|Number=Sing	1	0.009
Person|Number=Plur|Gender=Fem	1	0.009
