Modo+Tempo	Occorrenze	Percentuali
v+indic+pass	1774	15.269
v+indic+pres	1548	13.324
v+cong+imperf	311	2.677
v+indic+imperf	3420	29.437
v+part+pass	762	6.559
v+infinito+pres	2271	19.547
v+indic+pres/v+part+pass	179	1.541
v+gerundio+pres/v+part+pass	3	0.026
v+indic+imperf/v+part+pass/v+part+pass	13	0.112
v+cong+pres	58	0.499
v+indic+imperf/v+part+pass	392	3.374
v+cong+imperf/v+part+pass	64	0.551
v+gerundio+pres	439	3.779
v+cond+pres/v+part+pass	94	0.809
v+indic+fut	98	0.844
v+indic+pass/v+part+pass	40	0.344
v+part+pass/v+part+pass	6	0.052
v+infinito+pres/v+part+pass	59	0.508
v+part+pres	25	0.215
v+cond+pres	46	0.396
v+indic+fut/v+part+pass	3	0.026
v+cong+pres/v+part+pass	6	0.052
v+cond+pres/v+part+pass/v+part+pass	3	0.026
v+cong+imperf/v+part+pass/v+part+pass	3	0.026
v+indic+pres/v+part+pass/v+part+pass	1	0.009
