Part of Speech	Macrocategoria	Occorrenze	Percentuale
verbo	verbi	10807	12.762
art. Det.	articoli	4415	5.214
numero	altro	473	0.559
preposizione	preposizioni	8195	9.677
sost.	sostantivi	14510	17.134
prep. art. 	preposizioni	3470	4.098
cong. sub.	congiunzioni	1344	1.587
nome proprio	sostantivi	2374	2.803
punteggiatura - ,	punteggiatura	7421	8.763
agg. poss	aggettivi	990	1.169
aggettivo	aggettivi	3711	4.382
pron. pers. 	pronomi	983	1.161
punteggiatura - .?!	punteggiatura	4662	5.505
avverbio	avverbi	4695	5.544
cong. coord	congiunzioni	3500	4.133
det. dim.	aggettivi	552	0.652
pron. Clitico	pronomi	2517	2.972
punteggiatura - : ;	punteggiatura	765	0.903
verbo ausiliare	verbi	1239	1.463
avv, negazione	avverbi	1016	1.200
verbo mod	verbi	471	0.556
numerale	aggettivi	126	0.149
det. indefinito	aggettivi	431	0.509
pron. poss.	pronomi	29	0.034
verbo + pron. clitico	verbi	808	0.954
pron. rel.	pronomi	1136	1.341
art. ind.	articoli	1993	2.353
pron. indef.	pronomi	652	0.770
punteggiatura - "" () «» - - 	punteggiatura	397	0.469
interiezione	interiezioni	206	0.243
det. coll.)	aggettivi	182	0.215
pron. dimostrativo	pronomi	305	0.360
verbo + pron. clitico + pron clitico	verbi	27	0.032
pron. interr.	pronomi	131	0.155
det. Rel	aggettivi	6	0.007
det. interr.	aggettivi	37	0.044
pron. clitico+clitico	pronomi	3	0.004
verbo ausiliare + pron.clitico	verbi	28	0.033
verbo mod + pron. clitico	verbi	4	0.005
avverbio+pron. clit. 	avverbi	3	0.004
forestierismo	altro	68	0.080
det. esclam.	aggettivi	1	0.001
	verbi	13384	15.805
	articoli	6408	7.567
	altro	541	0.639
	preposizioni	11665	13.775
	sostantivi	16884	19.938
	congiunzioni	4844	5.720
	punteggiatura	13245	15.641
	aggettivi	6036	7.128
	pronomi	5756	6.797
	avverbi	5714	6.748
	interiezioni	206	0.243
Parole totali		84683	100.000
Parole piene		42018	49.618
Parole vuote		28879	34.102
Altri tokens		13786	16.280
