Lemmato	Occorrenze
essere	1956
il	2274
15	3
di	1959
giugno	3
del	727
1767	3
che	1503
Cosimo	596
Piovasco	8
Rondò	23
[PUNCT]	11804
mio	210
fratello	123
sedere	33
per	773
l'	532
ultimo	24
volta	110
in	971
mezzo	67
a	1531
noi	82
ricordare	20
come	468
oggi	3
nella	139
sala	4
da	1080
pranzo	4
della	458
nostro	201
villa	29
Ombrosa	87
la	1716
finestra	30
inquadrare	3
folto	12
ramo	219
grande	36
elce	12
parco	17
mezzogiorno	3
e	2501
famiglia	44
vecchio	61
tradizione	1
tavola	25
quello	427
ora	157
nonostante	4
fossa	10
già	112
invalso	2
tra	179
nobile	31
moda	4
venire	169
dalla	154
poco	91
mattiniero	1
corte	8
Francia	14
andare	223
desinare	1
metà	8
pomeriggio	9
tirare	40
vento	30
dal	200
mare	25
si	1052
muovere	49
foglia	60
dire	328
-	1437
avere	730
non	956
volere	182
respingere	2
piatto	12
lumaca	21
mai	139
vistare	55
disubbidienza	2
più	441
grave	9
	343
A	4
capotavola	1
Barone	76
Arminio	5
padre	93
con	565
parrucca	8
lungo	58
sulla	135
orecchio	25
alla	262
Luigi	4
XIV	1
fuori	57
tempo	110
tanto	118
cosa	167
suo	461
me	62
Abate	3
Fauchelafleur	11
elemosiniere	1
ed	107
aio	1
ragazzo	39
fronte	21
Generalessa	14
Corradina	1
madre	40
sorella	17
Battista	23
monaca	5
casa	52
all'	93
altro	186
capo	57
rimpetto	1
vestire	19
turco	10
Cavalier	39
Avvocato	15
Enea	22
Silvio	22
Carrega	18
amministratore	3
idraulico	8
podere	4
zio	18
naturale	25
quanto	52
illegittimo	1
mese	9
compiere	10
dodici	4
anno	40
io	167
gli	153
otto	5
ammettere	14
al	391
stesso	55
desco	1
genitore	6
ossia	7
beneficiare	2
promozione	1
prima	69
perché	218
lasciare	71
là	115
mangiare	17
solo	145
così	198
realtà	7
finire	54
cuccagna	4
rimpiangere	3
desinari	1
stanzetta	2
due	142
abate	32
un	1241
vecchietto	5
secco	10
grinzoso	1
fama	8
giansenista	3
difatti	7
fuggire	16
Delfìnato	1
terra	76
natale	1
scampare	2
processo	4
dell'	106
inquisizione	1
ma	442
carattere	7
rigoroso	2
lui	285
solitamente	1
