Tag PoS	Occorrenze
verbo	10807
art. Det.	4415
numero	263
preposizione	8195
sost.	14510
prep. art. 	3470
cong. sub.	1344
nome proprio	2374
punteggiatura - ,	7421
agg. poss	990
aggettivo	3711
pron. pers. 	983
punteggiatura - .?!	4662
avverbio	4695
cong. coord	3500
det. dim.	552
pron. Clitico	2517
punteggiatura - : ;	765
verbo ausiliare	1239
avv, negazione	1016
verbo mod	471
altro	210
numerale	126
det. indefinito	431
pron. poss.	29
verbo + pron. clitico	808
pron. rel.	1136
art. ind.	1993
pron. indef.	652
punteggiatura - "" () «» - - 	397
interiezione	206
det. coll.)	182
pron. dimostrativo	305
verbo + pron. clitico + pron clitico	27
pron. interr.	131
det. Rel	6
det. interr.	37
pron. clitico+clitico	3
verbo ausiliare + pron.clitico	28
verbo mod + pron. clitico	4
avverbio+pron. clit. 	3
forestierismo	68
	1
det. esclam.	1
