Lemma	Occorrenze	Presente in VdB 1980	Presente in VdB 2016
essere	1956	1	1
il	2274	1	1
15	3	0	0
di	1959	1	1
giugno	3	1	1
del	727	0	0
1767	3	0	0
che	1503	1	1
Cosimo	596	0	0
Piovasco	8	0	0
Rondò	23	0	0
mio	210	1	1
fratello	123	1	1
sedere	33	1	1
per	773	1	1
l'	532	0	0
ultimo	24	1	1
volta	110	1	1
in	971	1	1
mezzo	67	1	1
a	1531	0	1
noi	82	1	1
ricordare	20	1	1
come	468	1	1
oggi	3	1	1
nella	139	0	0
sala	4	1	1
da	1080	1	0
pranzo	4	1	1
della	458	0	0
nostro	201	1	1
villa	29	1	1
Ombrosa	87	0	0
la	1716	1	1
finestra	30	1	1
inquadrare	3	0	1
folto	12	1	0
ramo	219	1	1
grande	36	1	1
elce	12	0	0
parco	17	1	1
mezzogiorno	3	1	1
e	2501	1	1
famiglia	44	1	1
vecchio	61	1	1
tradizione	1	1	1
tavola	25	1	1
quello	427	1	1
ora	157	1	1
nonostante	4	1	1
fossa	10	1	1
già	112	1	1
invalso	2	0	0
tra	179	1	1
nobile	31	1	1
moda	4	1	1
venire	169	1	1
dalla	154	0	0
poco	91	1	1
mattiniero	1	1	0
corte	8	1	1
Francia	14	0	0
andare	223	1	1
desinare	1	0	0
metà	8	1	1
pomeriggio	9	1	1
tirare	40	1	1
vento	30	1	1
dal	200	0	0
mare	25	1	1
si	1052	1	1
muovere	49	1	1
foglia	60	1	1
dire	328	1	1
avere	730	1	1
non	956	1	1
volere	182	1	1
respingere	2	1	1
piatto	12	1	1
lumaca	21	1	1
mai	139	1	1
vistare	55	0	0
disubbidienza	2	1	1
più	441	1	1
grave	9	1	1
	341	0	0
A	4	0	0
capotavola	1	1	1
Barone	76	0	0
Arminio	5	0	0
padre	93	1	1
con	565	1	1
parrucca	8	1	1
lungo	58	1	1
sulla	135	0	0
orecchio	25	1	1
alla	262	0	0
Luigi	4	0	0
XIV	1	0	0
fuori	57	1	1
tempo	110	1	1
tanto	118	1	1
cosa	167	1	1
suo	461	1	1
me	62	0	1
Abate	3	0	0
Fauchelafleur	11	0	0
elemosiniere	1	0	0
ed	107	0	0
aio	1	0	0
ragazzo	39	1	1
fronte	21	1	1
Generalessa	14	0	0
Corradina	1	0	0
madre	40	1	1
sorella	17	1	1
Battista	23	0	0
monaca	5	0	1
casa	52	1	1
all'	93	0	0
altro	186	1	1
capo	57	1	1
rimpetto	1	0	0
vestire	19	1	1
turco	10	1	1
Cavalier	39	0	0
Avvocato	15	0	0
Enea	22	0	0
Silvio	22	0	0
Carrega	18	0	0
amministratore	3	1	1
idraulico	8	0	1
podere	4	1	1
zio	18	1	1
naturale	25	1	1
quanto	52	1	1
illegittimo	1	1	1
mese	9	1	1
compiere	10	1	1
dodici	4	1	1
anno	40	1	1
io	167	1	1
gli	153	0	1
otto	5	1	1
ammettere	14	1	1
al	391	0	1
stesso	55	1	1
desco	1	0	0
genitore	6	1	1
ossia	7	1	1
beneficiare	2	0	0
promozione	1	1	1
prima	69	1	1
perché	218	1	1
lasciare	71	1	1
là	115	0	1
mangiare	17	1	1
solo	145	1	1
così	198	1	1
realtà	7	1	1
finire	54	1	1
cuccagna	4	0	0
rimpiangere	3	1	1
desinari	1	0	0
stanzetta	2	0	0
due	142	1	1
abate	32	0	0
un	1241	0	0
vecchietto	5	0	0
secco	10	1	1
grinzoso	1	0	0
fama	8	1	1
giansenista	3	0	0
difatti	7	1	0
fuggire	16	1	1
Delfìnato	1	0	0
terra	76	1	1
natale	1	1	1
scampare	2	1	0
processo	4	1	1
dell'	106	0	0
inquisizione	1	0	0
ma	442	1	0
carattere	7	1	1
rigoroso	2	0	1
lui	285	0	1
solitamente	1	0	1
tutti	77	0	0
lodare	1	1	0
severità	3	0	0
interiore	3	1	1
imporre	7	1	1
sé	31	0	0
altri	25	0	0
cedere	4	1	1
continuamente	5	0	1
una	659	0	1
fondamentale	1	1	1
vocazione	3	1	1
indifferenza	4	0	1
correre	61	1	1
se	289	1	1
meditazione	1	0	0
occhio	70	1	1
fìssi	3	0	0
nel	279	0	0
vuoto	19	1	1
approdare	2	0	0
gran	40	0	0
noia	5	1	1
svogliatezza	1	0	0
ogni	132	1	1
difficoltà	2	0	1
anche	203	1	1
minimo	3	1	1
vedere	241	1	1
segno	24	1	1
fatalità	1	0	0
cui	112	1	1
valere	10	1	1
opporre	3	1	1
pasto	5	1	1
compagnia	10	1	1
cominciare	74	1	1
dopo	54	1	1
orazione	1	0	0
movimento	8	1	1
cucchiaio	1	1	1
composto	2	0	1
rituale	3	0	1
silenzioso	7	1	1
guaio	4	1	1
chi	97	1	1
alzare	57	1	1
o	302	1	1
fare	576	1	1
lieve	7	1	1
risucchio	2	0	0
sorbire	1	0	0
brodo	1	1	0
fine	15	1	1
minestra	1	1	1
stanco	8	1	1
annoiare	6	1	1
guardare	86	1	1
schioccare	3	0	0
lingua	20	1	1
sorso	2	1	1
vino	4	1	1
soltanto	16	1	1
sensazione	1	1	1
superficiale	2	1	1
caduco	1	0	0
riuscire	72	1	1
raggiungere	31	1	1
pietanza	3	0	0
