Modo+Tempo	Occorrenze	Occorrenze
v+indic+pass	330873.0	12.494400000000002
v+gerundio+pres	115377.0	4.35856
v+indic+pres	782556.0	29.512600000000003
v+cond+pres	15380.0	0.5791999999999999
v+infinito+pres	382510.0	14.431960000000002
v+part+pres	31554.0	1.19648
v+indic+pass/v+part+pass	81194.0	3.0781599999999996
v+part+pass	352201.0	13.302680000000004
v+indic+pres/v+part+pass	207213.0	7.876919999999999
v+cong+pres	25691.0	0.9653599999999999
v+indic+imperf	137541.0	5.18132
v+indic+imperf/v+part+pass	36922.0	1.3922800000000002
v+cond+pres/v+part+pass	12606.0	0.4739199999999999
v+indic+fut	28211.0	1.0651599999999999
v+indic+pres/v+part+pass/v+part+pass	36840.0	1.4065199999999998
v+infinito+pres/v+part+pass	32292.0	1.2194800000000001
v+cong+pres/v+part+pass	5790.0	0.21808
v+indic+imperf/v+part+pass/v+part+pass	4812.0	0.18175999999999998
v+cong+imperf	14049.0	0.52756
v+indic+fut/v+part+pass	3228.0	0.12196
v+cong+pres/v+part+pass/v+part+pass	976.0	0.03672000000000001
v+gerundio+pres/v+part+pass/v+part+pass	218.0	0.008320000000000004
v+cong+imperf/v+part+pass	4724.0	0.17760000000000006
v+gerundio+pres/v+part+pass	1267.0	0.04776000000000002
v+part+pass/v+part+pass	704.0	0.026680000000000016
v+cond+pres/v+part+pass/v+part+pass	978.0	0.03668000000000001
v+infinito+pres/v+part+pass/v+part+pass	1469.0	0.05548
v+indic+pass/v+part+pass/v+part+pass	10.0	0.0004
v+cong+imperf/v+part+pass/v+part+pass	541.0	0.020320000000000005
v+indic+imperf/v+indic+pres/v+part+pass	12.0	0.00048000000000000007
v+cong+pres/v+indic+pres/v+part+pass	6.0	0.00024
v+indic+imperf/v+indic+pass/v+part+pass	2.0	8e-05
v+infinito+pres/v+indic+pres/v+part+pass	9.0	0.00036
v+part+pass/v+indic+pres/v+part+pass	5.0	0.0002
v+indic+pres/v+indic+pres/v+part+pass	38.0	0.0015199999999999999
v+indic+pres/v+gerundio+pres/v+part+pass	2.0	8e-05
v+indic+pass/v+infinito+pres/v+part+pass	5.0	0.0002
v+part+pass/v+part+pass/v+part+pass	3.0	0.00012
v+indic+fut/v+part+pass/v+part+pass	12.0	0.00048
v+infinito+pres/v+infinito+pres/v+part+pass	6.0	0.00024
v+indic+imperf/v+infinito+pres/v+part+pass	8.0	0.00032
v+indic+pres/v+indic+fut/v+part+pass	1	4e-05
v+infinito+pres/v+cond+pres/v+part+pass	2.0	8e-05
v+cong+imperf/v+indic+pres/v+part+pass	1	4e-05
v+indic+pres/v+infinito+pres/v+part+pass	5.0	0.0002
v+indic+pass/v+indic+pres/v+part+pass	2.0	8e-05
v+cong+pres/v+indic+pass/v+part+pass	1	4e-05
v+indic+imperf/v+indic+imperf/v+part+pass	4.0	0.00016
v+indic+pres/v+indic+pass/v+part+pass	2.0	8e-05
v+indic+pres/v+cong+pres/v+part+pass	1	4e-05
v+cong+pres/v+infinito+pres/v+part+pass	2	8e-05
v+cong+imperf/v+cond+pres/v+part+pass	1	4e-05
v+indic+imperf/v+cond+pres/v+part+pass	1	4e-05
v+indic+pass/v+indic+pass/v+part+pass	5.0	0.0002
v+part+pass/v+cond+pres/v+part+pass	1	4e-05
v+indic+pres/v+indic+imperf/v+part+pass	2.0	8e-05
v+infinito+pres/v+indic+imperf/v+part+pass	1	4e-05
v+indic+fut/v+indic+pres/v+part+pass	1	4e-05
v+gerundio+pres/v+indic+imperf/v+part+pass	1	4e-05
